field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_0_row_17,1_applicant_applicant_applicant_applicant_age_age_,date,"1. APPLICANT: APPLICANT: APPLICANT: APPLICANT: Age: Age: Age: Birthdate: (d, m, y) Birthdate: (d, m,",False,"Table 1, Row 18",0,Table 1
table_0_row_18,2_respondent_respondent_respondent_respondent_age_,date,"2. RESPONDENT: RESPONDENT: RESPONDENT: RESPONDENT: Age: Age: Age: Birthdate: (d, m, y) Birthdate: (d",False,"Table 1, Row 19",0,Table 1
table_1_row_25,applicant_applicant_applicant_per_year_for_the_yea,currency,Applicant: Applicant: Applicant: $ per year for the year 20 per year for the year 20 per year for th,False,"Table 2, Row 26",0,Table 2
table_1_row_26,respondent_respondent_respondent_per_year_for_the_,currency,Respondent: Respondent: Respondent: $ per year for the year 20 per year for the year 20 per year for,False,"Table 2, Row 27",0,Table 2
