field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_8_row_11,subtract_value_of_all_deductions_from_item_25_abov,currency,Subtract value of all deductions  (from item [25] above) Subtract value of all deductions  (from ite,False,"Table 9, Row 12",0,Table 9
table_8_row_12,subtract_total_value_of_excluded_property_from_ite,currency,Subtract total value of excluded property  (from item [26] above) Subtract total value of excluded p,False,"Table 9, Row 13",0,Table 9
table_8_row_13,28_net_family_property_28_net_family_property_28_n,currency,28.  NET FAMILY PROPERTY 28.  NET FAMILY PROPERTY 28.  NET FAMILY PROPERTY 28.  NET FAMILY PROPERTY ,False,"Table 9, Row 14",0,Table 9
table_9_row_2,1_1_1_1_1_net_partnership_income_net_partnership_i,currency,1. 1. 1. 1. 1. Net partnership income Net partnership income Net partnership income Net partnership ,False,"Table 10, Row 3",0,Table 10
table_9_row_3,2_2_2_2_2_net_rental_income_gross_annual_rental_in,currency,2. 2. 2. 2. 2. Net rental income (Gross annual rental income of $      ) Net rental income (Gross an,False,"Table 10, Row 4",0,Table 10
table_9_row_4,3_3_3_3_3_total_amount_of_dividends_received_from_,currency,3. 3. 3. 3. 3. Total amount of dividends received from taxable Canadian corporations Total amount of,False,"Table 10, Row 5",0,Table 10
table_9_row_5,4_4_4_4_4_total_capital_gains_less_capital_losses_,currency,4. 4. 4. 4. 4. Total capital gains ($      ) less capital losses ($      ) Total capital gains ($   ,False,"Table 10, Row 6",0,Table 10
table_9_row_6,5_5_5_5_5_registered_retirement_savings_plan_withd,currency,5. 5. 5. 5. 5. Registered retirement savings plan withdrawals Registered retirement savings plan wit,False,"Table 10, Row 7",0,Table 10
table_9_row_7,6_6_6_6_6_income_from_a_registered_retirement_inco,currency,6. 6. 6. 6. 6. Income from a Registered Retirement Income Fund or Annuity Income from a Registered R,False,"Table 10, Row 8",0,Table 10
table_9_row_8,7_7_7_7_7_any_other_income_specify_source_any_othe,currency,7. 7. 7. 7. 7. Any other income (specify source) Any other income (specify source) Any other income ,False,"Table 10, Row 9",0,Table 10
table_9_row_10,subtotal_subtotal_subtotal,currency,Subtotal: Subtotal: Subtotal: $ $,False,"Table 10, Row 11",0,Table 10
table_9_row_13,1,currency,1. $ $,False,"Table 10, Row 14",0,Table 10
table_9_row_14,2,currency,2. $ $,False,"Table 10, Row 15",0,Table 10
table_9_row_15,3,currency,3. $ $,False,"Table 10, Row 16",0,Table 10
table_9_row_16,4,currency,4. $ $,False,"Table 10, Row 17",0,Table 10
table_9_row_17,5,currency,5. $ $,False,"Table 10, Row 18",0,Table 10
table_9_row_18,6,currency,6. $ $,False,"Table 10, Row 19",0,Table 10
table_9_row_19,7,currency,7. $ $,False,"Table 10, Row 20",0,Table 10
table_9_row_20,8,currency,8. $ $,False,"Table 10, Row 21",0,Table 10
table_9_row_21,9,currency,9. $ $,False,"Table 10, Row 22",0,Table 10
table_9_row_22,10_10,currency,10. 10. $ $,False,"Table 10, Row 23",0,Table 10
table_9_row_24,total_net_annual_amount_total_net_annual_amount_to,currency,Total Net Annual Amount Total Net Annual Amount Total Net Annual Amount Total Net Annual Amount Tota,False,"Table 10, Row 25",0,Table 10
table_9_row_25,total_net_monthly_amount_total_net_monthly_amount_,currency,Total Net Monthly Amount Total Net Monthly Amount Total Net Monthly Amount Total Net Monthly Amount ,False,"Table 10, Row 26",0,Table 10
table_9_row_27,i_earn_i_earn_per_year_which_should_be_used_to_det,currency,I earn $ I earn $ per year which should be used to determine my share of the above expenses. per yea,False,"Table 10, Row 28",0,Table 10
table_9_row_30,medical_insurance_premiums_and_certain_health_rela,currency,. . . Medical insurance premiums and certain health-related expenses for the child that cost more th,False,"Table 10, Row 31",0,Table 10
