field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_0_row_9,full_legal_name_full_legal_name_full_legal_name,text,Full legal name: Full legal name: Full legal name:,False,"Table 1, Row 10",0,Table 1
table_0_row_10,address_address_address,text,Address: Address: Address:,False,"Table 1, Row 11",0,Table 1
table_0_row_14,full_legal_name_full_legal_name_full_legal_name,text,Full legal name: Full legal name: Full legal name:,False,"Table 1, Row 15",0,Table 1
table_0_row_15,address_address_address,text,Address: Address: Address:,False,"Table 1, Row 16",0,Table 1
table_1_row_0,valuation_date_statement_date_statement_date_state,date,Valuation Date: Statement Date: Statement Date: Statement Date: Statement Date:,False,"Table 2, Row 1",0,Table 2
table_1_row_7,matrimonial_home_matrimonial_home,currency,Matrimonial Home Matrimonial Home $ $ $ $ $,False,"Table 2, Row 8",0,Table 2
table_1_row_8,field,currency,$ $ $ $ $,False,"Table 2, Row 9",0,Table 2
table_1_row_9,field,currency,$ $ $ $ $,False,"Table 2, Row 10",0,Table 2
table_1_row_10,a_totals_value_of_land_a_totals_value_of_land_a_to,currency,(A) TOTALS: Value of Land (A) TOTALS: Value of Land (A) TOTALS: Value of Land (A) TOTALS: Value of L,False,"Table 2, Row 11",0,Table 2
table_2_row_4,household_goods_furniture,currency,Household goods & furniture $ $ $ $,False,"Table 3, Row 5",0,Table 3
table_2_row_5,cars_boats_vehicles,currency,"Cars, boats, vehicles $ $ $ $",False,"Table 3, Row 6",0,Table 3
table_2_row_6,jewellery_art_electronics_tools_sports_hobby_equip,currency,"Jewellery, art, electronics, tools, sports & hobby, equipment $ $ $ $",False,"Table 3, Row 7",0,Table 3
table_2_row_7,other_special_items,currency,Other special items $ $ $ $,False,"Table 3, Row 8",0,Table 3
table_2_row_10,b_totals_value_of_general_household_items_and_vehi,currency,(B) TOTALS: Value of General Household Items and Vehicles (B) TOTALS: Value of General Household Ite,False,"Table 3, Row 11",0,Table 3
table_3_row_4,field,currency,$ $ $ $,False,"Table 4, Row 5",0,Table 4
table_3_row_5,field,currency,$ $ $ $,False,"Table 4, Row 6",0,Table 4
table_3_row_6,field,currency,$ $ $ $,False,"Table 4, Row 7",0,Table 4
table_3_row_7,c_totals_value_of_accounts_and_savings_c_totals_va,currency,(C) TOTALS: Value of Accounts and Savings (C) TOTALS: Value of Accounts and Savings (C) TOTALS: Valu,False,"Table 4, Row 8",0,Table 4
table_4_row_1,company_type_policy_no_owner_beneficiary_face_amou,currency,"COMPANY TYPE & POLICY NO. OWNER BENEFICIARY FACE
AMOUNT ($) COMMENTS Document Number Applicant’s Pos",False,"Table 5, Row 2",0,Table 5
table_4_row_2,company_type_policy_no_owner_beneficiary_face_amou,currency,"COMPANY TYPE & POLICY NO. OWNER BENEFICIARY FACE
AMOUNT ($) COMMENTS Document Number APPLICANT RESPO",False,"Table 5, Row 3",0,Table 5
table_4_row_7,d_totals_cash_surrender_value_of_insurance_policie,currency,(D) TOTALS: Cash Surrender Value of Insurance Policies (D) TOTALS: Cash Surrender Value of Insurance,False,"Table 5, Row 8",0,Table 5
table_5_row_7,e_totals_value_of_business_interests_e_totals_valu,currency,(E) TOTALS: Value of Business Interests (E) TOTALS: Value of Business Interests (E) TOTALS: Value of,False,"Table 6, Row 8",0,Table 6
table_6_row_7,f_totals_money_owed_to_you_f_totals_money_owed_to_,currency,(F) TOTALS: Money Owed to You (F) TOTALS: Money Owed to You (F) TOTALS: Money Owed to You $ $ $ $,False,"Table 7, Row 8",0,Table 7
table_7_row_7,g_totals_value_of_other_property_g_totals_value_of,currency,(G) TOTALS: Value of Other Property (G) TOTALS: Value of Other Property (G) TOTALS: Value of Other P,False,"Table 8, Row 8",0,Table 8
table_8_row_0,value_of_property_owned_on_the_valuation_date_tota,date,"VALUE OF PROPERTY OWNED ON THE VALUATION DATE, (TOTAL 1)
(Add: item A to item G inclusive) $ $ $ $",False,"Table 9, Row 1",0,Table 9
table_9_row_7,field,currency,$ $ $ $,False,"Table 10, Row 8",0,Table 10
table_9_row_8,totals_value_of_debts_and_other_liabilities_total_,currency,"TOTALS: Value of Debts and Other Liabilities, (TOTAL 2) TOTALS: Value of Debts and Other Liabilities",False,"Table 10, Row 9",0,Table 10
table_10_row_5,assets,currency,Assets $ $ $ $,False,"Table 11, Row 6",0,Table 11
table_10_row_7,total_of_property_items_total_of_property_items_to,currency,TOTAL OF PROPERTY ITEMS TOTAL OF PROPERTY ITEMS TOTAL OF PROPERTY ITEMS $ $ $ $,False,"Table 11, Row 8",0,Table 11
table_10_row_9,debts_and_other_liabilities,currency,Debts and other liabilities $ $ $ $,False,"Table 11, Row 10",0,Table 11
table_10_row_10,field,currency,$ $ $ $,False,"Table 11, Row 11",0,Table 11
table_10_row_11,total_of_debts_items_total_of_debts_items_total_of,currency,TOTAL OF DEBTS ITEMS TOTAL OF DEBTS ITEMS TOTAL OF DEBTS ITEMS $ $ $ $,False,"Table 11, Row 12",0,Table 11
table_10_row_12,net_value_of_property_owned_on_date_of_marriage_ne,date,NET VALUE OF PROPERTY OWNED ON DATE OF MARRIAGE (NET TOTAL 3) NET VALUE OF PROPERTY OWNED ON DATE OF,False,"Table 11, Row 13",0,Table 11
table_11_row_11,totals_value_of_excluded_property_total_4_totals_v,currency,TOTALS: Value of Excluded Property (TOTAL 4) TOTALS: Value of Excluded Property (TOTAL 4) TOTALS: Va,False,"Table 12, Row 12",0,Table 12
table_12_row_0,total_2_debts_and_other_liabilities,currency,TOTAL 2: Debts and Other Liabilities $ $ $ $,False,"Table 13, Row 1",0,Table 13
table_12_row_1,total_3_value_of_property_owned_on_the_date_of_mar,date,TOTAL 3: Value of Property Owned on the Date of Marriage $ $ $ $,False,"Table 13, Row 2",0,Table 13
table_12_row_2,total_4_value_of_excluded_property,currency,TOTAL 4: Value of Excluded Property $ $ $ $,False,"Table 13, Row 3",0,Table 13
table_12_row_3,total_5_total_2_total_3_total_4,currency,TOTAL 5: (TOTAL 2 + TOTAL 3 + TOTAL 4) $ $ $ $,False,"Table 13, Row 4",0,Table 13
table_13_row_0,total_1_value_of_property_owned_on_valuation_date,date,TOTAL 1: Value of Property Owned on Valuation Date $ $ $ $,False,"Table 14, Row 1",0,Table 14
table_13_row_1,total_5_from_above,currency,TOTAL 5: (from above) $ $ $ $,False,"Table 14, Row 2",0,Table 14
table_13_row_2,total_6_net_family_property_subtract_total_1_minus,currency,TOTAL 6: NET FAMILY PROPERTY (Subtract: TOTAL 1 minus TOTAL 5) $ $ $ $,False,"Table 14, Row 3",0,Table 14
table_14_row_2,field,currency,$ $ $ $,False,"Table 15, Row 3",0,Table 15
