field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_,field,dropdown,,False,,,"['          ', 'Ontario Court of Justice', 'Superior Court of Justice', 'Superior Court of Justice Family Court Branch']",,,Legacy Form Field,0,,
legacy_CourtFileNo,courtfileno,text,Court File Number,False,,,,,,Legacy Form Field,0,,
legacy_Text2,text2,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text4,text4,text,Text Field 4,False,,,,,,Legacy Form Field,0,,
legacy__2,2,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text9,text9,text,Text Field 9,False,,,,,,Legacy Form Field,0,,
legacy__3,3,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text10,text10,text,Text Field 10,False,,,,,,Legacy Form Field,0,,
legacy_Text11,text11,text,Text Field 11,False,,,,,,Legacy Form Field,0,,
legacy_Text17,text17,text,Text Field 17,False,,,,,,Legacy Form Field,0,,
legacy_Text13,text13,text,Text Field 13,False,,,,,,Legacy Form Field,0,,
legacy_Check1,check1,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Check2,check2,checkbox,Checkbox 2,False,,,,,,Legacy Form Field,0,,
legacy_Check3,check3,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check4,check4,checkbox,Checkbox 4,False,,,,,,Legacy Form Field,0,,
legacy_Check5,check5,checkbox,Checkbox 5,False,,,,,,Legacy Form Field,0,,
legacy_Check6,check6,checkbox,Checkbox 6,False,,,,,,Legacy Form Field,0,,
legacy_Check7,check7,checkbox,Checkbox 7,False,,,,,,Legacy Form Field,0,,
legacy_Text14,text14,text,Text Field 14,False,,,,,,Legacy Form Field,0,,
legacy_Check8,check8,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check9,check9,checkbox,Checkbox 9,False,,,,,,Legacy Form Field,0,,
legacy_Check10,check10,checkbox,Checkbox 10,False,,,,,,Legacy Form Field,0,,
legacy_Check11,check11,checkbox,Checkbox 11,False,,,,,,Legacy Form Field,0,,
legacy_Check12,check12,checkbox,Checkbox 12,False,,,,,,Legacy Form Field,0,,
legacy_Text15,text15,text,Text Field 15,False,,,,,,Legacy Form Field,0,,
legacy_Check13,check13,checkbox,Checkbox 13,False,,,,,,Legacy Form Field,0,,
legacy_Text16,text16,text,Text Field 16,False,,,,,,Legacy Form Field,0,,
table_0_row_11,birthdate_birthdate_birthdate_birthdate_birthdate_,date,Birthdate: Birthdate: Birthdate: Birthdate: Birthdate: Birthdate: Birthdate:,False,,,,Table 1,11,"Table 1, Row 12",0,,
