field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_Dropdown1,dropdown1,dropdown,Dropdown 1,False,,,"['          ', 'Ontario Court of Justice', 'Superior Court of Justice', 'Superior Court of Justice, Family Court']",,,Legacy Form Field,0,,
legacy_CourtFileNo,courtfileno,text,Court File Number,False,,,,,,Legacy Form Field,0,,
legacy_Text1,text1,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text3,text3,text,Text Field 3,False,,,,,,Legacy Form Field,0,,
legacy_Text3_2,text3_2,text,Text Field 3,False,,,,,,Legacy Form Field,0,,
legacy_Text3_3,text3_3,text,Text Field 3,False,,,,,,Legacy Form Field,0,,
legacy_Text3_4,text3_4,text,Text Field 3,False,,,,,,Legacy Form Field,0,,
legacy_,field,text,,False,,,,,,Legacy Form Field,0,,
legacy__2,2,text,,False,,,,,,Legacy Form Field,0,,
legacy__3,3,text,,False,,,,,,Legacy Form Field,0,,
legacy__4,4,text,,False,,,,,,Legacy Form Field,0,,
legacy__5,5,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check85,check85,checkbox,Checkbox 85,False,,,,,,Legacy Form Field,0,,
legacy__6,6,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check85_2,check85_2,checkbox,Checkbox 85,False,,,,,,Legacy Form Field,0,,
legacy__7,7,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check85_3,check85_3,checkbox,Checkbox 85,False,,,,,,Legacy Form Field,0,,
legacy__8,8,text,,False,,,,,,Legacy Form Field,0,,
legacy__9,9,text,,False,,,,,,Legacy Form Field,0,,
legacy__10,10,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check85_4,check85_4,checkbox,Checkbox 85,False,,,,,,Legacy Form Field,0,,
legacy_Check85_5,check85_5,checkbox,Checkbox 85,False,,,,,,Legacy Form Field,0,,
legacy__11,11,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check85_6,check85_6,checkbox,Checkbox 85,False,,,,,,Legacy Form Field,0,,
legacy_Check85_7,check85_7,checkbox,Checkbox 85,False,,,,,,Legacy Form Field,0,,
legacy__12,12,text,,False,,,,,,Legacy Form Field,0,,
legacy__13,13,text,,False,,,,,,Legacy Form Field,0,,
legacy__14,14,text,,False,,,,,,Legacy Form Field,0,,
legacy__15,15,text,,False,,,,,,Legacy Form Field,0,,
legacy__16,16,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check85_8,check85_8,checkbox,Checkbox 85,False,,,,,,Legacy Form Field,0,,
legacy_Check85_9,check85_9,checkbox,Checkbox 85,False,,,,,,Legacy Form Field,0,,
legacy__17,17,text,,False,,,,,,Legacy Form Field,0,,
