field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_Text1_56,text1_56,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_57,text1_57,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__18,18,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_58,text1_58,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_59,text1_59,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_60,text1_60,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__19,19,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_61,text1_61,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_62,text1_62,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_63,text1_63,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__20,20,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_64,text1_64,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_65,text1_65,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_66,text1_66,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__21,21,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_67,text1_67,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_68,text1_68,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_69,text1_69,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__22,22,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_70,text1_70,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_71,text1_71,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_72,text1_72,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__23,23,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_73,text1_73,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_74,text1_74,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_75,text1_75,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__24,24,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_76,text1_76,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_77,text1_77,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_78,text1_78,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__25,25,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_79,text1_79,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_80,text1_80,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_81,text1_81,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__26,26,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_82,text1_82,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_83,text1_83,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_84,text1_84,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__27,27,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_85,text1_85,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_86,text1_86,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_87,text1_87,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__28,28,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_88,text1_88,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_89,text1_89,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_90,text1_90,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__29,29,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text1_91,text1_91,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_92,text1_92,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy_Text1_93,text1_93,text,Text Field 1,False,,,,,,Legacy Form Field,0,,
legacy__30,30,text,,False,,,,,,Legacy Form Field,0,,
