field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_,field,dropdown,,False,,,"['          ', 'Ontario Court of Justice', 'Superior Court of Justice', 'Superior Court of Justice, Family Court']",,,Legacy Form Field,0,,
legacy_CourtFileNo,courtfileno,text,Court File Number,False,,,,,,Legacy Form Field,0,,
legacy_Text6,text6,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy__2,2,text,,False,,,,,,Legacy Form Field,0,,
legacy__3,3,text,,False,,,,,,Legacy Form Field,0,,
legacy__4,4,text,,False,,,,,,Legacy Form Field,0,,
legacy__5,5,text,,False,,,,,,Legacy Form Field,0,,
legacy__6,6,text,,False,,,,,,Legacy Form Field,0,,
legacy__7,7,text,,False,,,,,,Legacy Form Field,0,,
legacy__8,8,text,,False,,,,,,Legacy Form Field,0,,
legacy__9,9,text,,False,,,,,,Legacy Form Field,0,,
legacy__10,10,text,,False,,,,,,Legacy Form Field,0,,
legacy__11,11,text,,False,,,,,,Legacy Form Field,0,,
legacy__12,12,text,,False,,,,,,Legacy Form Field,0,,
legacy__13,13,text,,False,,,,,,Legacy Form Field,0,,
legacy__14,14,text,,False,,,,,,Legacy Form Field,0,,
legacy__15,15,text,,False,,,,,,Legacy Form Field,0,,
legacy__16,16,text,,False,,,,,,Legacy Form Field,0,,
legacy__17,17,text,,False,,,,,,Legacy Form Field,0,,
legacy_Text6_2,text6_2,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Text6_3,text6_3,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Text6_4,text6_4,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Text6_5,text6_5,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Text6_6,text6_6,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Text6_7,text6_7,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Check3,check3,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check4,check4,checkbox,Checkbox 4,False,,,,,,Legacy Form Field,0,,
legacy_Check5,check5,checkbox,Checkbox 5,False,,,,,,Legacy Form Field,0,,
legacy_Check6,check6,checkbox,Checkbox 6,False,,,,,,Legacy Form Field,0,,
legacy_Check9,check9,checkbox,Checkbox 9,False,,,,,,Legacy Form Field,0,,
legacy_Text6_8,text6_8,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy__18,18,text,,False,,,,,,Legacy Form Field,0,,
legacy__19,19,text,,False,,,,,,Legacy Form Field,0,,
legacy__20,20,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check7,check7,checkbox,Checkbox 7,False,,,,,,Legacy Form Field,0,,
legacy_Check8,check8,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Text6_9,text6_9,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Check8_2,check8_2,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check8_3,check8_3,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check8_4,check8_4,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check10,check10,checkbox,Checkbox 10,False,,,,,,Legacy Form Field,0,,
legacy_Check11,check11,checkbox,Checkbox 11,False,,,,,,Legacy Form Field,0,,
legacy_Check13,check13,checkbox,Checkbox 13,False,,,,,,Legacy Form Field,0,,
legacy_Check8_5,check8_5,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check12,check12,checkbox,Checkbox 12,False,,,,,,Legacy Form Field,0,,
legacy_Check14,check14,checkbox,Checkbox 14,False,,,,,,Legacy Form Field,0,,
legacy_Check16,check16,checkbox,Checkbox 16,False,,,,,,Legacy Form Field,0,,
legacy_Check15,check15,checkbox,Checkbox 15,False,,,,,,Legacy Form Field,0,,
legacy_Text6_10,text6_10,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Check21,check21,checkbox,Checkbox 21,False,,,,,,Legacy Form Field,0,,
legacy_Check18,check18,checkbox,Checkbox 18,False,,,,,,Legacy Form Field,0,,
legacy_Check19,check19,checkbox,Checkbox 19,False,,,,,,Legacy Form Field,0,,
legacy_Text6_11,text6_11,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Check22,check22,checkbox,Checkbox 22,False,,,,,,Legacy Form Field,0,,
legacy_Check20,check20,checkbox,Checkbox 20,False,,,,,,Legacy Form Field,0,,
legacy_Check18_2,check18_2,checkbox,Checkbox 18,False,,,,,,Legacy Form Field,0,,
legacy_Check22_2,check22_2,checkbox,Checkbox 22,False,,,,,,Legacy Form Field,0,,
legacy_Text6_12,text6_12,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Check8_6,check8_6,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check8_7,check8_7,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check8_8,check8_8,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Text6_13,text6_13,text,Text Field 6,False,,,,,,Legacy Form Field,0,,
legacy_Check23,check23,checkbox,Checkbox 23,False,,,,,,Legacy Form Field,0,,
legacy_Check24,check24,checkbox,Checkbox 24,False,,,,,,Legacy Form Field,0,,
legacy_Check8_9,check8_9,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check8_10,check8_10,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check8_11,check8_11,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check25,check25,checkbox,Checkbox 25,False,,,,,,Legacy Form Field,0,,
legacy_Check8_12,check8_12,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check8_13,check8_13,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check8_14,check8_14,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check8_15,check8_15,checkbox,Checkbox 8,False,,,,,,Legacy Form Field,0,,
legacy_Check26,check26,checkbox,Checkbox 26,False,,,,,,Legacy Form Field,0,,
legacy_Check22_3,check22_3,checkbox,Checkbox 22,False,,,,,,Legacy Form Field,0,,
legacy_Check60,check60,checkbox,Checkbox 60,False,,,,,,Legacy Form Field,0,,
legacy_Check60_2,check60_2,checkbox,Checkbox 60,False,,,,,,Legacy Form Field,0,,
legacy_Text18,text18,text,Text Field 18,False,,,,,,Legacy Form Field,0,,
legacy_Text19,text19,text,Text Field 19,False,,,,,,Legacy Form Field,0,,
legacy_Text22,text22,text,Text Field 22,False,,,,,,Legacy Form Field,0,,
table_0_row_6,full_legal_name_full_legal_name_full_legal_name_fu,text,Full legal name: Full legal name: Full legal name: Full legal name: Name:,False,,,,Table 1,6,"Table 1, Row 7",0,,
