field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy__58,58,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check77_8,check77_8,checkbox,Checkbox 77,False,,,,,,Legacy Form Field,0,,
legacy__59,59,text,,False,,,,,,Legacy Form Field,0,,
legacy__60,60,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check77_9,check77_9,checkbox,Checkbox 77,False,,,,,,Legacy Form Field,0,,
legacy__61,61,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check77_10,check77_10,checkbox,Checkbox 77,False,,,,,,Legacy Form Field,0,,
legacy_Check77_11,check77_11,checkbox,Checkbox 77,False,,,,,,Legacy Form Field,0,,
legacy__62,62,text,,False,,,,,,Legacy Form Field,0,,
legacy__63,63,checkbox,,False,,,,,,Legacy Form Field,0,,
legacy__64,64,text,,False,,,,,,Legacy Form Field,0,,
legacy__65,65,checkbox,,False,,,,,,Legacy Form Field,0,,
legacy__66,66,text,,False,,,,,,Legacy Form Field,0,,
legacy__67,67,checkbox,,False,,,,,,Legacy Form Field,0,,
legacy__68,68,text,,False,,,,,,Legacy Form Field,0,,
legacy__69,69,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check79_6,check79_6,checkbox,Checkbox 79,False,,,,,,Legacy Form Field,0,,
legacy_Check76_13,check76_13,checkbox,Checkbox 76,False,,,,,,Legacy Form Field,0,,
legacy__70,70,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check76_14,check76_14,checkbox,Checkbox 76,False,,,,,,Legacy Form Field,0,,
legacy_Check76_15,check76_15,checkbox,Checkbox 76,False,,,,,,Legacy Form Field,0,,
legacy__71,71,text,,False,,,,,,Legacy Form Field,0,,
legacy_Check76_16,check76_16,checkbox,Checkbox 76,False,,,,,,Legacy Form Field,0,,
legacy_Check76_17,check76_17,checkbox,Checkbox 76,False,,,,,,Legacy Form Field,0,,
legacy__72,72,text,,False,,,,,,Legacy Form Field,0,,
legacy__73,73,text,,False,,,,,,Legacy Form Field,0,,
legacy__74,74,text,,False,,,,,,Legacy Form Field,0,,
legacy__75,75,text,,False,,,,,,Legacy Form Field,0,,
legacy__76,76,text,,False,,,,,,Legacy Form Field,0,,
legacy__77,77,text,,False,,,,,,Legacy Form Field,0,,
