field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
widget_1_form1[0].page1[0].p1[0].courtDetails[0].courtFileNumber[0],form1[0].page1[0].p1[0].courtDetails[0].courtFileNumber[0],text,Court File Number,False,,,,,,Page 1,1,"{'x0': 434.8349914550781, 'y0': 61.82501220703125, 'x1': 591.1630249023438, 'y1': 77.301025390625}",
widget_1_form1[0].page1[0].p1[0].courtDetails[0].court[0].nameOfCourt[0],form1[0].page1[0].p1[0].courtDetails[0].court[0].nameOfCourt[0],select,Name of Court.  Select from the drop down menu.,False,,,,,,Page 1,1,"{'x0': 159.65899658203125, 'y0': 64.531005859375, 'x1': 423.2439880371094, 'y1': 79.9010009765625}",
widget_1_form1[0].page1[0].p1[0].courtDetails[0].court[0].courtOfficeAddress[0],form1[0].page1[0].p1[0].courtDetails[0].court[0].courtOfficeAddress[0],text,Court office address,False,,,,,,Page 1,1,"{'x0': 159.65899658203125, 'y0': 93.33099365234375, 'x1': 423.2439880371094, 'y1': 108.70098876953125}",
widget_1_form1[0].page1[0].p1[0].appl[0].#subform[0].judge[0],form1[0].page1[0].p1[0].appl[0].#subform[0].judge[0],text,Judge (print or type name),False,,,,,,Page 1,1,"{'x0': 19.417999267578125, 'y0': 156.8070068359375, 'x1': 139.0030059814453, 'y1': 192.9010009765625}",
widget_1_form1[0].page1[0].p1[0].appl[0].#subform[0].dateofOrder[0],form1[0].page1[0].p1[0].appl[0].#subform[0].dateofOrder[0],text,Date of order,False,,,,,,Page 1,1,"{'x0': 19.417999267578125, 'y0': 262.73797607421875, 'x1': 139.0030059814453, 'y1': 298.26800537109375}",
widget_1_form1[0].page1[0].p1[0].appl[0].start[0].applicants[0].appliant[0].textfield[0],form1[0].page1[0].p1[0].appl[0].start[0].applicants[0].appliant[0].textfield[0],text,"Applicant. 1. Full legal name & address for service — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,,,,,,Page 1,1,"{'x0': 147.60000610351562, 'y0': 193.85601806640625, 'x1': 363.6000061035156, 'y1': 218.35797119140625}",
widget_1_form1[0].page1[0].p1[0].appl[0].start[0].applicants[0].appliant[0].textfield[1],form1[0].page1[0].p1[0].appl[0].start[0].applicants[0].appliant[0].textfield[1],text,"Applicant. 2. Full legal name & address for service — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,,,,,,Page 1,1,"{'x0': 147.60000610351562, 'y0': 219.7760009765625, 'x1': 363.6000061035156, 'y1': 244.27801513671875}",
widget_1_form1[0].page1[0].p1[0].appl[0].start[0].applicants[0].applicantLawyer[0].textfield[0],form1[0].page1[0].p1[0].appl[0].start[0].applicants[0].applicantLawyer[0].textfield[0],text,"Applicant. 1. Lawyer’s name & address — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,,,,,,Page 1,1,"{'x0': 378.0, 'y0': 193.85601806640625, 'x1': 594.0, 'y1': 218.35797119140625}",
widget_1_form1[0].page1[0].p1[0].appl[0].start[0].applicants[0].applicantLawyer[0].textfield[1],form1[0].page1[0].p1[0].appl[0].start[0].applicants[0].applicantLawyer[0].textfield[1],text,"Applicant. 2. Lawyer’s name & address — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,,,,,,Page 1,1,"{'x0': 378.0, 'y0': 219.7760009765625, 'x1': 594.0, 'y1': 244.27801513671875}",
widget_1_form1[0].page1[0].p1[0].appl[0].start[0].respondents[0].respondant[0].textfield[0],form1[0].page1[0].p1[0].appl[0].start[0].respondents[0].respondant[0].textfield[0],text,"Respondent. 1. Full legal name & address for service — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,,,,,,Page 1,1,"{'x0': 147.60000610351562, 'y0': 299.6960144042969, 'x1': 363.6000061035156, 'y1': 324.197998046875}",
