field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_Dropdown1,dropdown1,dropdown,Dropdown 1,False,,,"['          ', 'Ontario Court of Justice', 'Superior Court of Justice', 'Superior Court of Justice Family Court Branch']",,,Legacy Form Field,0,,
legacy_CourtFileNo,courtfileno,text,Court File Number,False,,,,,,Legacy Form Field,0,,
legacy_Text2,text2,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_2,text2_2,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_3,text2_3,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_4,text2_4,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_5,text2_5,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_6,text2_6,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Check2,check2,checkbox,Checkbox 2,False,,,,,,Legacy Form Field,0,,
legacy_,field,checkbox,,False,,,,,,Legacy Form Field,0,,
legacy_Text2_7,text2_7,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_8,text2_8,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_9,text2_9,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy__2,2,checkbox,,False,,,,,,Legacy Form Field,0,,
legacy_Text5,text5,text,Text Field 5,False,,,,,,Legacy Form Field,0,,
table_0_row_22,the_total_amount_of_your_payments_is_not_to_exceed,currency,The total amount of your payments is not to exceed $ The total amount of your payments is not to exc,False,,,,Table 1,22,"Table 1, Row 23",0,,
