field_id,field_name,field_type,field_label,required,validation_rules,max_length,options,table_name,table_row,field_context,page_number,coordinates,help_text
legacy_Dropdown1,dropdown1,dropdown,Dropdown 1,False,,,"['          ', 'Ontario Court of Justice', 'Superior Court of Justice', 'Superior Court of Justice Family Court Branch']",,,Legacy Form Field,0,,
legacy_CourtFileNo,courtfileno,text,Court File Number,False,,,,,,Legacy Form Field,0,,
legacy_Text2,text2,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_2,text2_2,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_3,text2_3,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_4,text2_4,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_5,text2_5,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_6,text2_6,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Check2,check2,checkbox,Checkbox 2,False,,,,,,Legacy Form Field,0,,
legacy_Check1,check1,checkbox,Checkbox 1,False,,,,,,Legacy Form Field,0,,
legacy_Text2_7,text2_7,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_8,text2_8,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Check3,check3,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Check3_2,check3_2,checkbox,Checkbox 3,False,,,,,,Legacy Form Field,0,,
legacy_Text2_9,text2_9,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_10,text2_10,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Check4,check4,checkbox,Checkbox 4,False,,,,,,Legacy Form Field,0,,
legacy_Text2_11,text2_11,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_12,text2_12,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Text2_13,text2_13,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Check4_2,check4_2,checkbox,Checkbox 4,False,,,,,,Legacy Form Field,0,,
legacy_Check5,check5,checkbox,Checkbox 5,False,,,,,,Legacy Form Field,0,,
legacy_Text2_14,text2_14,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Check6,check6,checkbox,Checkbox 6,False,,,,,,Legacy Form Field,0,,
legacy_Text2_15,text2_15,text,Text Field 2,False,,,,,,Legacy Form Field,0,,
legacy_Check7,check7,checkbox,Checkbox 7,False,,,,,,Legacy Form Field,0,,
legacy_Text5,text5,text,Text Field 5,False,,,,,,Legacy Form Field,0,,
table_0_row_22,check_the_first_circle_if_you_want_the_garnishment,currency,Check the first circle if you want the garnishment to deduct fixed dollar amounts.  If you want the ,False,,,,Table 1,22,"Table 1, Row 23",0,,
table_0_row_26,check_the_first_circle_if_you_want_the_garnishment,currency,Check the first circle if you want the garnishment to deduct fixed dollar amounts.  If you want the ,False,,,,Table 1,26,"Table 1, Row 27",0,,
table_0_row_27,check_the_first_circle_if_you_want_the_garnishment,currency,Check the first circle if you want the garnishment to deduct fixed dollar amounts.  If you want the ,False,,,,Table 1,27,"Table 1, Row 28",0,,
